Version 3.2,"Warning!  Calc Price displays a value when Size 1 and Size 2 (if applicable) are entered.  Make sure to read what Size1 and Size2 refer to in the comments field, fill out the appropriate size values before using calc price.",,,,,,,,,,,,,,,,,
07-May-11,Warning! Check Added/Modified Date to make sure you have the current costs.  Some errors were found in the hose clamp equations in the calc price cell.,,,,,,,,,,,,,,,,,
Fastener ID,Fastener,Size 1,Unit 1,Size 2,Unit 2,Category,Supplier,c1,c2,Table Price,System,Category,Calc Price,Attachment,DateAdded/Modified,Mass,Comments,
,"Steel Loop Straps, Rubber-Cushioned",25.40,mm,,,Clamp,,0.0100,0.0100, [C1]*[Size1]+[C2] ,,Clamp, $0.26 ,,11-Feb-09,,[Size1]=final clamped diameter [mm],
,Galvanized Steel Loop Straps,25.40,mm,,,Clamp,,0.0020,0.0800, [C1]*[Size1]+[C2] ,,Clamp, $0.13 ,,11-Feb-09,,[Size1]=final clamped diameter [mm],
,"Galvanized Steel Loop Straps, Rubber coated",25.40,mm,,,Clamp,,0.0040,0.0800, [C1]*[Size1]+[C2] ,,Clamp, $0.18 ,,11-Feb-09,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, Spring Steel",25.40,mm,,,Clamp,,0.0140,0.0000, [C1]*[Size1] ,,Clamp, $0.36 ,,11-Feb-09,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, Constant Tension",25.40,mm,,,Clamp,,0.1230,2.6000, [C1]*[Size1]+[C2] ,,Clamp, $5.72 ,,11-Feb-09,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, Miniature Bolt",25.40,mm,,,,,0.0040,0.5000, [C1]*[Size1]+[C2] ,,, $0.60 ,,23-Feb-09,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, Single Wire",6.35,mm,,,,,0.0040,0.0200, [C1]*[Size1]+[C2] ,,, $0.045 ,,23-Feb-09,,[Size1]=final clamped diameter [mm],
,"Hose Clamp, V-Band Quick Release", 50.00 ,mm,,,,,0.118,10.46, [C1]*[Size1]+[C2] ,,, $16.36 ,,24-Feb-09,,[Size1]=final clamped diameter [mm], 
,"Hose Clamp, Worm Drive",25.40,mm,,,Clamp,,0.0040,0.5000, [C1]*[Size1]+[C2] ,,Clamp, $0.60 ,,11-Feb-09,,[Size1]=final clamped diameter [mm],
,"Retaining Ring, R-ring",6.00,mm,,,Retaining Ring,,0.0002,0.0130,[C1]*([Size1]^2)+[C2],,,$0.02,,11-Feb-09,,[Size1]=shaft diameter [mm],
,"Retaining Ring, Internal",6.00,mm,,,Retaining Ring,,0.0002,0.0130,[C1]*([Size1]^2)+[C2],,,$0.02,,11-Feb-09,,[Size1]=shaft diameter [mm],
,"Retaining Ring, External",6.00,mm,,,Retaining Ring,,0.0002,0.0130,[C1]*([Size1]^2)+[C2],,,$0.02,,11-Feb-09,,[Size1]=shaft diameter [mm],
,"Retaining Ring, Spiral",6.00,mm,,,Retaining Ring,,0.0002,0.0250,[C1]*([Size1]^2)+[C2],,,$0.03,,11-Feb-09,,[Size1]=shaft diameter [mm],
,Alcoa Camloc Fastener 1/4 turn, $4.00 ,unit,,,,,,,,,,,,07-May-11,,,
,"Bolt, Aluminum",,mm,,mm,Bolt,,1.00,0.0050 ,[C1]/105154*[Size1]^2*[Size2]*SQRT([Size2])+([C2]*EXP(0.319*[Size1])),,, $0.01 ,,24-Feb-09,,"[Size1]=diameter (mm).  [Size2]=length (mm).    Strength 255 Mpa.  Special varities included (drilled head, locking, etc.).",
,"Bolt, Banjo",,unit,,,,,,,,,,,,08-Mar-09,,This item is in the materials table under plumbing, 
,"Bolt, Custom Design, Student Made", $-   ,unit,,,Bolt,,,,,,,,,11-Feb-09,,"To be used for designs that do not match standard bolt configurations, such as threaded rocker arm posts",
,"Bolt, Grade 10.9 (SAE 8)",12.7,mm,0,mm,Bolt,,1.00,0.0040 ,[C1]/105154*[Size1]^2*[Size2]*SQRT([Size2])+([C2]*EXP(0.319*[Size1])),,, $0.23 ,,,,"[Size1]=diameter (mm).  [Size2]=length (mm).    Strength 1030 Mpa.   Special varities included (drilled head, locking, etc.).",
,"Bolt, Grade 12.9",12.7,mm,0,mm,Bolt,,1.25,0.0050 ,[C1]/105154*[Size1]^2*[Size2]*SQRT([Size2])+([C2]*EXP(0.319*[Size1])),,, $0.29 ,,,,"[Size1]=diameter (mm).  [Size2]=length (mm).    Strength 1170 Mpa.   Special varities included (drilled head, locking, etc.).",
